pitch_uid,game_year,game_date,plate_x,plate_z,zone,pitch_type,p_throws,type,is_bip,events,description
716603-62-2,2023,2023-09-13,0.64,3.32,3.0,SI,L,B,False,,ball
716603-62-1,2023,2023-09-13,-1.52,1.15,13.0,ST,L,B,False,,ball
716603-7-1,2023,2023-09-13,0.29,3.86,12.0,FF,R,B,False,,ball
716618-45-4,2023,2023-09-12,-0.41,3.03,1.0,FF,L,S,False,strikeout,swinging_strike
716618-45-3,2023,2023-09-12,-0.99,2.41,13.0,FF,L,B,False,,ball
716618-45-2,2023,2023-09-12,-0.62,0.91,13.0,CU,L,S,False,,swinging_strike
716618-45-1,2023,2023-09-12,0.64,2.53,6.0,SL,L,S,False,,foul
716618-28-3,2023,2023-09-12,0.28,1.95,9.0,CH,L,X,True,single,hit_into_play
716618-28-2,2023,2023-09-12,1.35,1.88,14.0,CH,L,B,False,,ball
716618-28-1,2023,2023-09-12,0.25,2.91,2.0,CU,L,S,False,,called_strike
716618-62-1,2023,2023-09-12,0.76,2.41,6.0,SI,R,X,True,single,hit_into_play
716618-79-8,2023,2023-09-12,0.02,2.23,5.0,FF,R,X,True,home_run,hit_into_play
716618-79-7,2023,2023-09-12,1.85,2.43,14.0,SL,R,B,False,,ball
716618-6-3,2023,2023-09-12,0.86,2.29,14.0,SI,L,X,True,field_out,hit_into_play
716618-79-6,2023,2023-09-12,-0.04,0.12,13.0,CH,R,B,False,,ball
716618-6-2,2023,2023-09-12,1.08,2.61,12.0,SL,L,B,False,,ball
716618-79-5,2023,2023-09-12,-1.33,2.39,13.0,CH,R,S,False,,foul
716618-6-1,2023,2023-09-12,1.6,3.31,12.0,SL,L,B,False,,ball
716618-79-4,2023,2023-09-12,0.26,3.39,2.0,FF,R,S,False,,foul
716618-79-3,2023,2023-09-12,-0.32,4.86,11.0,FF,R,B,False,,ball
716618-79-2,2023,2023-09-12,0.4,3.76,12.0,FF,R,S,False,,swinging_strike
716618-79-1,2023,2023-09-12,0.33,1.55,9.0,FF,R,S,False,,foul
717664-44-4,2023,2023-09-11,0.98,0.62,14.0,CU,R,S,False,strikeout,swinging_strike_blocked
717664-44-3,2023,2023-09-11,1.3,1.27,14.0,CU,R,B,False,,ball
717664-44-2,2023,2023-09-11,0.6,2.16,6.0,FF,R,S,False,,foul
717664-44-1,2023,2023-09-11,-0.09,1.75,8.0,CU,R,S,False,,foul
716590-55-3,2023,2023-09-11,1.28,2.4,14.0,CU,R,X,True,field_out,hit_into_play
716590-55-2,2023,2023-09-11,-0.7,1.9,7.0,SI,R,S,False,,foul
716590-19-3,2023,2023-09-11,-0.4,1.77,7.0,KC,R,X,True,force_out,hit_into_play
716590-19-2,2023,2023-09-11,-0.44,1.89,7.0,KC,R,S,False,,foul
716590-55-1,2023,2023-09-11,0.33,2.14,9.0,SI,R,S,False,,called_strike
717664-23-1,2023,2023-09-11,0.47,2.05,9.0,FF,R,X,True,field_out,hit_into_play
716590-19-1,2023,2023-09-11,-0.84,2.25,13.0,KC,R,S,False,,called_strike
717664-79-3,2023,2023-09-11,-0.41,2.26,4.0,SI,R,X,True,field_error,hit_into_play
717664-79-2,2023,2023-09-11,-1.74,2.28,13.0,SI,R,B,False,,ball
717664-79-1,2023,2023-09-11,-0.56,1.96,7.0,SI,R,S,False,,called_strike
717664-6-5,2023,2023-09-11,-0.44,2.55,4.0,CU,R,S,False,strikeout,swinging_strike
716590-7-5,2023,2023-09-11,0.05,1.81,8.0,SI,R,X,True,single,hit_into_play
717664-6-4,2023,2023-09-11,0.27,3.01,2.0,FF,R,S,False,,foul
717664-63-1,2023,2023-09-11,0.04,3.15,2.0,FF,L,X,True,home_run,hit_into_play
716590-37-3,2023,2023-09-11,0.58,1.92,9.0,FC,R,X,True,double,hit_into_play
717664-6-3,2023,2023-09-11,-0.02,1.8,8.0,CU,R,S,False,,foul
716590-7-4,2023,2023-09-11,1.93,-0.2,14.0,KC,R,B,False,,blocked_ball
716590-37-2,2023,2023-09-11,-0.53,4.01,11.0,FC,R,S,False,,swinging_strike
716590-37-1,2023,2023-09-11,1.52,1.41,14.0,FC,R,B,False,,ball
717664-6-2,2023,2023-09-11,-0.82,3.27,1.0,SI,R,B,False,,ball
716590-7-3,2023,2023-09-11,1.96,0.34,14.0,KC,R,B,False,,blocked_ball
716590-7-2,2023,2023-09-11,0.24,2.94,2.0,SI,R,S,False,,foul
717664-6-1,2023,2023-09-11,0.19,1.9,8.0,SI,R,S,False,,called_strike
716590-7-1,2023,2023-09-11,-0.78,1.45,13.0,SI,R,S,False,,foul
716643-21-5,2023,2023-09-10,-0.31,3.3,1.0,FF,R,X,True,field_out,hit_into_play
716643-21-4,2023,2023-09-10,0.83,1.21,14.0,SL,R,B,False,,ball
716643-21-3,2023,2023-09-10,1.47,0.82,14.0,SL,R,B,False,,ball
716643-21-2,2023,2023-09-10,0.03,3.32,2.0,FF,R,S,False,,foul
716643-21-1,2023,2023-09-10,0.62,2.54,6.0,SL,R,S,False,,called_strike
716643-57-5,2023,2023-09-10,1.1,2.57,12.0,FC,R,X,True,single,hit_into_play
716643-57-4,2023,2023-09-10,1.5,0.56,14.0,KC,R,B,False,,blocked_ball
