game_year,game_date,game_pk,at_bat_number,pitch_number,p_throws,stand,pitch_type,zone,hc_x,hc_y,loc_x,loc_y,type,events,bb_type,hit_direction,ooz,sort_rank
2023,2023-08-08,717082,35,5,R,R,SL,7.0,41.16,120.8,-210.28523846000002,193.33963237000006,X,double,line_drive,Pull,False,0
2023,2023-08-08,717082,69,4,L,R,SI,8.0,178.63,72.02,132.79465391,315.0784637500001,X,field_out,fly_ball,Oppo,False,2
2023,2023-08-08,717096,64,6,R,R,SL,2.0,120.79,60.0,-11.55495672999999,345.07642917000004,X,field_out,line_drive,Straightaway,False,1
2023,2023-08-08,717096,7,1,R,R,FF,5.0,103.54,30.91,-54.605281479999995,417.67549856000005,X,double,line_drive,Straightaway,False,1
2023,2023-08-06,717113,14,6,R,R,SL,3.0,37.72,113.54,-218.87034670000003,211.45820383000003,X,double,line_drive,Pull,False,0
2023,2023-08-06,717113,52,5,R,R,CU,9.0,180.83,109.7,138.28513011000004,221.04158047000004,X,field_out,line_drive,Oppo,False,2
2023,2023-08-05,717123,32,3,R,R,SL,9.0,98.56,165.16,-67.03372306,82.63166681000004,X,field_out,ground_ball,Pull,False,0
2023,2023-08-05,717123,68,6,L,R,CH,8.0,100.71,49.12,-61.66803041000002,372.22932965000007,X,double,fly_ball,Straightaway,False,1
2023,2023-08-05,717123,16,3,R,R,SL,9.0,135.6,155.05,25.405930779999984,107.86290062,X,field_out,ground_ball,Oppo,False,2
2023,2023-08-05,717123,51,1,L,R,SI,4.0,25.43,80.35,-249.54214329000004,294.28952432000006,X,home_run,fly_ball,Pull,False,0
2023,2023-08-04,717140,55,5,R,R,FF,2.0,170.94,90.39,113.60294392,269.23298748,X,single,line_drive,Oppo,False,2
2023,2023-08-04,717140,34,6,R,R,ST,8.0,116.36,116.64,-22.610779260000008,203.72162373000003,X,field_out,fly_ball,Straightaway,False,1
2023,2023-08-04,717140,16,3,R,R,ST,9.0,154.75,158.74,73.19803043,98.65387463,X,field_out,line_drive,Oppo,False,2
2023,2023-08-04,717140,73,2,R,R,SL,8.0,139.03,148.12,33.966082310000004,125.15790065000003,X,force_out,ground_ball,Oppo,False,2
2023,2023-08-03,717147,32,5,R,R,SL,9.0,156.71,61.23,78.08954559000003,342.0067538400001,X,field_out,line_drive,Oppo,False,2
2023,2023-08-03,717147,11,8,R,R,SL,11.0,152.87,140.61,68.50616895000002,143.90038986,X,field_out,line_drive,Oppo,True,2
2023,2023-08-03,717147,47,2,L,R,FF,4.0,167.72,116.44,105.5668833,204.22075793000005,X,field_out,fly_ball,Oppo,False,2
2023,2023-08-02,717159,26,1,L,R,SI,3.0,157.23,60.37,79.38729450999998,344.15303090000003,X,field_out,fly_ball,Oppo,False,2
2023,2023-08-02,717159,10,1,L,R,SI,5.0,102.02,168.7,-58.39870140000002,73.79699147000007,X,field_out,ground_ball,Pull,False,0
2023,2023-08-02,717159,96,2,R,R,SI,4.0,100.5,163.11,-62.19212132000001,87.74779236,X,field_out,ground_ball,Pull,False,0
2023,2023-08-02,717159,58,4,R,R,SI,5.0,112.68,148.86,-31.79484853999999,123.31110411,X,grounded_into_double_play,ground_ball,Pull,False,0
2023,2023-08-01,717182,50,2,R,R,SI,5.0,138.41,57.74,32.418766289999986,350.71664563,X,field_out,line_drive,Straightaway,False,1
