check,got,want,pass
platoon 2020 L ops,1.1852678571428572,1.1853,True
platoon 2020 L woba,0.48889062499999997,0.4889,True
platoon 2020 L krate,0.125,0.125,True
platoon 2020 R pa,195,195,True
platoon 2020 R ops,0.9167318557149066,0.9167,True
platoon 2020 R woba,0.3876717948717949,0.3877,True
platoon 2020 R krate,0.14358974358974358,0.1436,True
platoon 2021 L pa,166,166,True
platoon 2021 L ops,1.146153240412631,1.1462,True
platoon 2021 L woba,0.47738554216867474,0.4774,True
platoon 2021 L krate,0.1144578313253012,0.1145,True
platoon 2021 R pa,478,478,True
platoon 2021 R ops,0.8265775573183891,0.8266,True
platoon 2021 R woba,0.35454393305439325,0.3545,True
platoon 2021 R krate,0.1903765690376569,0.1904,True
platoon 2022 L pa,182,182,True
platoon 2022 L ops,0.8823260073260073,0.8823,True
platoon 2022 L woba,0.37648351648351647,0.3765,True
platoon 2022 L krate,0.2087912087912088,0.2088,True
platoon 2022 R pa,525,525,True
platoon 2022 R ops,0.7823388587772387,0.7823,True
platoon 2022 R woba,0.34028871892925433,0.3403,True
platoon 2022 R krate,0.17714285714285713,0.1771,True
platoon 2023 L pa,205,205,True
platoon 2023 L ops,0.7133367929423975,0.7133,True
platoon 2023 L woba,0.3066536585365853,0.3067,True
platoon 2023 L krate,0.2,0.2,True
platoon 2023 R pa,484,484,True
platoon 2023 R ops,0.8028623261439226,0.8029,True
platoon 2023 R woba,0.3445061983471074,0.3445,True
platoon 2023 R krate,0.22520661157024793,0.2252,True
platoon 2024 L pa,169,169,True
platoon 2024 L ops,0.8838225625555942,0.8838,True
platoon 2024 L woba,0.37889349112426035,0.3789,True
platoon 2024 L krate,0.17159763313609466,0.1716,True
platoon 2024 R pa,372,372,True
platoon 2024 R ops,0.7687716420630581,0.7688,True
platoon 2024 R woba,0.3336989247311828,0.3337,True
platoon 2024 R krate,0.18548387096774194,0.1855,True
platoon 2025 L pa,204,204,True
platoon 2025 L ops,0.8328664799253034,0.8329,True
platoon 2025 L woba,0.362328431372549,0.3623,True
platoon 2025 L krate,0.1568627450980392,0.1569,True
platoon 2025 R pa,437,437,True
platoon 2025 R ops,0.7948623311434266,0.7949,True
platoon 2025 R woba,0.3439450800915332,0.3439,True
platoon 2025 R krate,0.17162471395881007,0.1716,True
platoon 2026 L pa,197,197,True
platoon 2026 L ops,0.6296446700507614,0.6296,True
platoon 2026 L woba,0.28516326530612246,0.2852,True
platoon 2026 L krate,0.16243654822335024,0.1624,True
platoon 2026 R pa,405,405,True
platoon 2026 R ops,0.6855254204335569,0.6855,True
platoon 2026 R woba,0.29860493827160495,0.2986,True
platoon 2026 R krate,0.24444444444444444,0.2444,True
platoon W1 L pa,126,126,True
platoon W1 L ops,0.5535714285714286,0.5536,True
platoon W1 L woba,0.2571825396825397,0.2572,True
platoon W1 L below_floor,False,False,True
