game_year,batter,plate_apps,pitches,at_bats,hits,walks,unint_walks,hbp,strikeouts,sf,singles,doubles,triples,hrs,bip,ba,obp,slg,ops,iso,krate,bbrate,babip,woba,whiff_rate,chase_rate,swing_rate,swing_rate_in_zone,whiff_rate_in_zone,hard_hit_rate,barrel_rate,pull_air_rate,mean_ev,mean_la,pu_rate,gb_rate
2018,453562,50,206,45,6,3,3,0,27,0,5,0,0,1,20,0.1333,0.1875,0.2,0.3875,0.0667,0.54,0.06,0.2941,0.1771,0.4568,0.2376,0.3932,0.5429,0.3509,0.25,0.0,0.1,,,0.1,0.45
2018,465753,76,345,71,16,5,5,0,30,0,7,6,1,2,41,0.2254,0.2763,0.4225,0.6989,0.1972,0.3947,0.0658,0.359,0.2991,0.3312,0.2349,0.4551,0.6629,0.2414,0.439,0.0488,0.2927,90.1463,16.4146,0.0732,0.3171
2018,467092,100,376,89,30,9,9,0,19,2,20,8,1,1,72,0.3371,0.39,0.4831,0.8731,0.1461,0.19,0.09,0.4085,0.374,0.2451,0.2995,0.5426,0.7919,0.1679,0.4583,0.0278,0.0694,91.3841,2.7971,0.0278,0.625
2018,467793,673,2801,560,128,104,104,1,93,8,74,28,2,24,475,0.2286,0.3462,0.4143,0.7605,0.1857,0.1382,0.1545,0.2306,0.3335,0.194,0.2095,0.4141,0.6404,0.1525,0.3874,0.0695,0.2189,88.9154,15.3625,0.1263,0.4147
2018,514917,704,3009,605,153,91,91,4,155,3,120,15,3,15,454,0.2529,0.3528,0.362,0.7148,0.1091,0.2202,0.1293,0.3151,0.3203,0.2026,0.1796,0.3822,0.5863,0.1352,0.2841,0.0419,0.1256,85.9152,11.3203,0.0529,0.4912
2018,546318,594,2319,550,140,35,35,7,122,0,96,19,3,22,430,0.2545,0.3074,0.42,0.7274,0.1655,0.2054,0.0589,0.2906,0.3155,0.2757,0.3829,0.5239,0.6913,0.1753,0.3163,0.0488,0.1907,87.0453,13.1241,0.114,0.4535
2018,571437,285,1155,243,44,36,36,4,91,2,24,11,1,8,154,0.1811,0.2947,0.3333,0.6281,0.1523,0.3193,0.1263,0.2466,0.282,0.3282,0.2272,0.4485,0.6791,0.2245,0.4545,0.0974,0.1494,90.4373,10.2353,0.0779,0.487
2018,571506,54,223,49,11,4,4,1,13,0,7,3,0,1,36,0.2245,0.2963,0.3469,0.6432,0.1224,0.2407,0.0741,0.2857,0.2854,0.25,0.3565,0.4843,0.6078,0.1774,0.3611,0.0833,0.1389,88.6765,10.0,0.1667,0.4444
2018,595284,214,890,187,37,23,23,2,75,1,25,6,2,4,114,0.1979,0.2911,0.3155,0.6066,0.1176,0.3505,0.1075,0.3028,0.2726,0.3492,0.227,0.473,0.7188,0.2744,0.3947,0.0877,0.2018,88.4143,13.5,0.0263,0.4035
2018,595751,371,1334,344,90,12,12,14,138,1,62,16,2,10,207,0.2616,0.3127,0.407,0.7196,0.1453,0.372,0.0323,0.4061,0.3136,0.4233,0.4331,0.6109,0.7834,0.3087,0.4396,0.1063,0.0821,91.7286,8.4126,0.029,0.4879
