game_year,game_pk,pitcher,half,n_heart,n_edge_in,n_edge_out,n_beyond,located_pitches,swings_beyond,swings_edge_out,shadow_zone_rate,shadow_miss_rate,geo_zone_rate,edge_rate_twin,beyond_shadow_chase_rate,edge_out_chase_rate,beyond_miss_depth_ft,is_subject
2025,777063,621111,2H,28,19,13,29,89,4.0,7.0,0.6742,0.3258,0.5281,0.3596,0.1379,0.5385,0.73,False
2025,777078,624133,2H,24,25,16,35,100,5.0,4.0,0.65,0.35,0.49,0.41,0.1429,0.25,0.56,False
2025,777078,667755,2H,24,20,22,27,93,5.0,12.0,0.7097,0.2903,0.4731,0.4516,0.1852,0.5455,0.75,False
2025,777089,579328,2H,24,12,14,41,91,11.0,11.0,0.5495,0.4505,0.3956,0.2857,0.2683,0.7857,0.71,False
2025,777089,592836,2H,29,10,10,21,70,4.0,5.0,0.7,0.3,0.5571,0.2857,0.1905,0.5,0.53,False
2025,777106,666200,2H,22,15,14,41,92,12.0,5.0,0.5543,0.4457,0.4022,0.3152,0.2927,0.3571,0.8,False
2025,777117,601713,1H,20,39,11,34,104,8.0,5.0,0.6731,0.3269,0.5673,0.4808,0.2353,0.4545,0.7403,False
2025,777117,650911,1H,31,12,15,28,86,7.0,9.0,0.6744,0.3256,0.5,0.314,0.25,0.6,0.536,True
2025,777126,506433,1H,17,22,17,27,83,1.0,8.0,0.6747,0.3253,0.4699,0.4699,0.037,0.4706,0.8,False
2025,777126,554430,1H,24,20,21,40,105,10.0,8.0,0.619,0.381,0.419,0.3905,0.25,0.381,0.56,False
2025,777139,624133,1H,25,20,22,29,96,8.0,12.0,0.6979,0.3021,0.4688,0.4375,0.2759,0.5455,0.49,False
2025,777139,686701,1H,25,9,18,30,82,9.0,6.0,0.6341,0.3659,0.4146,0.3293,0.3,0.3333,0.5358,False
2025,777163,434378,1H,23,20,16,37,96,12.0,10.0,0.6146,0.3854,0.4479,0.375,0.3243,0.625,0.78,False
2025,777163,666200,1H,38,18,19,31,106,8.0,11.0,0.7075,0.2925,0.5283,0.3491,0.2581,0.5789,0.5,False
2025,777186,592662,1H,27,18,10,44,99,12.0,5.0,0.5556,0.4444,0.4545,0.2828,0.2727,0.5,0.63,False
2025,777186,592836,1H,16,11,9,27,63,6.0,8.0,0.5714,0.4286,0.4286,0.3175,0.2222,0.8889,0.57,False
2025,777199,650911,1H,28,21,16,40,105,13.0,7.0,0.619,0.381,0.4667,0.3524,0.325,0.4375,0.695,True
2025,777199,694738,1H,21,21,13,45,100,13.0,6.0,0.55,0.45,0.42,0.34,0.2889,0.4615,0.55,False
2025,777217,554430,1H,37,16,22,33,108,9.0,10.0,0.6944,0.3056,0.4907,0.3519,0.2727,0.4545,0.54,False
2025,777217,695505,1H,18,21,17,35,91,4.0,9.0,0.6154,0.3846,0.4286,0.4176,0.1143,0.5294,0.82,False
2025,777233,624133,1H,14,20,11,35,80,11.0,8.0,0.5625,0.4375,0.425,0.3875,0.3143,0.7273,0.49,False
2025,777233,666157,1H,24,16,19,26,85,8.0,11.0,0.6941,0.3059,0.4706,0.4118,0.3077,0.5789,0.6,False
2025,777255,666200,1H,16,7,6,31,60,8.0,4.0,0.4833,0.5167,0.3833,0.2167,0.2581,0.6667,0.55,False
2025,777255,671096,1H,22,17,10,17,66,5.0,6.0,0.7424,0.2576,0.5909,0.4091,0.2941,0.6,0.49,False
2025,777273,601713,1H,21,26,10,33,90,13.0,6.0,0.6333,0.3667,0.5222,0.4,0.3939,0.6,0.62,False
2025,777273,690953,1H,11,9,7,26,53,4.0,3.0,0.5094,0.4906,0.3774,0.3019,0.1538,0.4286,0.572,False
2025,777290,650911,1H,27,21,15,22,85,4.0,8.0,0.7412,0.2588,0.5647,0.4235,0.1818,0.5333,0.58,True
2025,777290,656302,1H,28,18,11,46,103,12.0,9.0,0.5534,0.4466,0.4466,0.2816,0.2609,0.8182,0.7391,False
2025,777306,554430,1H,25,19,17,46,107,17.0,9.0,0.5701,0.4299,0.4112,0.3364,0.3696,0.5294,0.673,False
2025,777306,663362,1H,31,17,17,39,104,2.0,6.0,0.625,0.375,0.4615,0.3269,0.0513,0.3529,0.7788,False
2025,777316,624133,1H,25,17,17,37,96,11.0,8.0,0.6146,0.3854,0.4375,0.3542,0.2973,0.4706,0.6084,False
2025,777316,675911,1H,20,21,14,40,95,8.0,7.0,0.5789,0.4211,0.4316,0.3684,0.2,0.5,0.723,False
2025,777333,666200,1H,30,15,14,38,97,7.0,7.0,0.6082,0.3918,0.4639,0.299,0.1842,0.5,0.6073,False
2025,777333,680885,1H,27,20,11,32,90,7.0,7.0,0.6444,0.3556,0.5222,0.3444,0.2188,0.6364,0.556,False
2025,777342,693821,1H,19,12,12,23,66,4.0,0.0,0.6515,0.3485,0.4697,0.3636,0.1739,0.0,0.66,False
2025,777350,650911,1H,28,21,11,39,99,14.0,5.0,0.6061,0.3939,0.4949,0.3232,0.359,0.4545,0.6859,True
2025,777350,686613,1H,21,19,21,35,96,11.0,8.0,0.6354,0.3646,0.4167,0.4167,0.3143,0.381,0.67,False
2025,777366,554430,1H,25,16,18,41,100,11.0,8.0,0.59,0.41,0.41,0.34,0.2683,0.4444,0.5224,False
2025,777366,676467,1H,24,17,15,24,80,6.0,8.0,0.7,0.3,0.5125,0.4,0.25,0.5333,0.81,False
2025,777377,624133,1H,24,24,19,34,101,6.0,9.0,0.6634,0.3366,0.4752,0.4257,0.1765,0.4737,0.74,False
2025,777377,664285,1H,28,18,9,37,92,5.0,3.0,0.5978,0.4022,0.5,0.2935,0.1351,0.3333,0.5099,False
2025,777405,656849,1H,15,11,12,34,72,9.0,4.0,0.5278,0.4722,0.3611,0.3194,0.2647,0.3333,0.565,False
2025,777405,666200,1H,30,13,23,41,107,11.0,12.0,0.6168,0.3832,0.4019,0.3364,0.2683,0.5217,0.58,False
2025,777423,656288,1H,26,11,19,38,94,14.0,10.0,0.5957,0.4043,0.3936,0.3191,0.3684,0.5263,0.725,False
2025,777423,690953,1H,21,19,11,22,73,5.0,4.0,0.6986,0.3014,0.5479,0.411,0.2273,0.3636,0.63,False
2025,777437,554430,1H,22,20,22,34,98,5.0,10.0,0.6531,0.3469,0.4286,0.4286,0.1471,0.4545,0.775,False
2025,777437,694918,1H,20,14,9,31,74,7.0,1.0,0.5811,0.4189,0.4595,0.3108,0.2258,0.1111,0.45,False
2025,777444,650911,1H,31,22,12,26,91,9.0,6.0,0.7143,0.2857,0.5824,0.3736,0.3462,0.5,0.5876,True
2025,777444,665795,1H,25,8,13,36,82,8.0,6.0,0.561,0.439,0.4024,0.2561,0.2222,0.4615,0.59,False
2025,777465,624133,1H,24,20,18,33,95,8.0,10.0,0.6526,0.3474,0.4632,0.4,0.2424,0.5556,0.43,False
2025,777465,800049,1H,23,21,16,37,97,5.0,9.0,0.6186,0.3814,0.4536,0.3814,0.1351,0.5625,0.64,False
2025,777481,615698,1H,19,8,18,29,74,4.0,10.0,0.6081,0.3919,0.3649,0.3514,0.1379,0.5556,0.68,False
2025,777481,666200,1H,26,13,19,45,103,10.0,8.0,0.5631,0.4369,0.3786,0.3107,0.2222,0.4211,0.5,False
2025,777483,645261,1H,34,18,14,34,100,11.0,8.0,0.66,0.34,0.52,0.32,0.3235,0.5714,0.625,False
2025,777483,690953,1H,33,11,9,24,77,5.0,3.0,0.6883,0.3117,0.5714,0.2597,0.2083,0.3333,0.585,False
2025,777499,554430,1H,22,19,12,41,94,13.0,8.0,0.5638,0.4362,0.4362,0.3298,0.3171,0.6667,0.59,False
2025,777499,621244,1H,17,15,22,34,88,11.0,13.0,0.6136,0.3864,0.3636,0.4205,0.3235,0.5909,0.585,False
2025,777509,650911,1H,24,23,14,37,98,13.0,7.0,0.6224,0.3776,0.4796,0.3776,0.3514,0.5,0.59,True
2025,777509,670102,1H,17,12,10,35,74,7.0,5.0,0.527,0.473,0.3919,0.2973,0.2,0.5,0.65,False
2025,777531,592332,1H,13,23,17,42,95,9.0,7.0,0.5579,0.4421,0.3789,0.4211,0.2143,0.4118,0.63,False
2025,777531,624133,1H,28,18,15,33,94,11.0,8.0,0.6489,0.3511,0.4894,0.3511,0.3333,0.5333,0.6313,False
2025,777553,666200,1H,28,24,16,31,99,10.0,9.0,0.6869,0.3131,0.5253,0.404,0.3226,0.5625,0.67,False
2025,777553,676962,1H,28,15,16,41,100,10.0,8.0,0.59,0.41,0.43,0.31,0.2439,0.5,0.73,False
2025,777571,607067,1H,21,18,11,33,83,8.0,8.0,0.6024,0.3976,0.4699,0.3494,0.2424,0.7273,0.6,False
2025,777571,690953,1H,24,18,17,30,89,4.0,12.0,0.6629,0.3371,0.4719,0.3933,0.1333,0.7059,0.56,False
2025,777578,554430,1H,26,27,16,34,103,10.0,8.0,0.6699,0.3301,0.5146,0.4175,0.2941,0.5,0.6581,False
2025,777578,571510,1H,25,15,10,23,73,7.0,7.0,0.6849,0.3151,0.5479,0.3425,0.3043,0.7,0.45,False
2025,777595,650911,1H,26,19,20,35,100,9.0,12.0,0.65,0.35,0.45,0.39,0.2571,0.6,0.56,True
2025,777595,694973,1H,26,23,15,33,97,7.0,7.0,0.6598,0.3402,0.5052,0.3918,0.2121,0.4667,0.54,False
2025,777607,571760,1H,24,12,10,27,73,4.0,5.0,0.6301,0.3699,0.4932,0.3014,0.1481,0.5,0.54,False
2025,777607,624133,1H,38,14,16,29,97,6.0,7.0,0.701,0.299,0.5361,0.3093,0.2069,0.4375,0.62,False
2025,777621,663559,1H,26,9,14,16,65,2.0,6.0,0.7538,0.2462,0.5385,0.3538,0.125,0.4286,0.4594,False
2025,777637,605135,1H,25,18,16,40,99,11.0,6.0,0.596,0.404,0.4343,0.3434,0.275,0.375,0.62,False
2025,777637,666200,1H,19,8,11,23,61,3.0,3.0,0.623,0.377,0.4426,0.3115,0.1304,0.2727,0.6395,False
2025,777651,621244,1H,15,15,14,45,89,14.0,9.0,0.4944,0.5056,0.3371,0.3258,0.3111,0.6429,0.6218,False
2025,777651,690953,1H,26,15,13,24,78,6.0,6.0,0.6923,0.3077,0.5256,0.359,0.25,0.4615,0.4314,False
2025,777665,650911,1H,28,15,18,35,96,5.0,6.0,0.6354,0.3646,0.4479,0.3438,0.1429,0.3333,0.6801,True
2025,777665,670102,1H,10,14,11,23,58,6.0,7.0,0.6034,0.3966,0.4138,0.431,0.2609,0.6364,0.62,False
2025,777688,500779,1H,13,15,14,40,82,12.0,7.0,0.5122,0.4878,0.3415,0.3537,0.3,0.5,0.565,False
2025,777688,624133,1H,31,20,22,24,97,4.0,7.0,0.7526,0.2474,0.5258,0.433,0.1667,0.3182,0.64,False
2025,777702,666200,1H,29,7,15,25,76,5.0,5.0,0.6711,0.3289,0.4737,0.2895,0.2,0.3333,0.55,False
2025,777702,694477,1H,27,18,21,28,94,5.0,12.0,0.7021,0.2979,0.4787,0.4149,0.1786,0.5714,0.529,False
2025,777715,592836,1H,19,9,21,40,89,7.0,12.0,0.5506,0.4494,0.3146,0.3371,0.175,0.5714,0.625,False
2025,777723,519242,1H,34,14,20,34,102,10.0,9.0,0.6667,0.3333,0.4706,0.3333,0.2941,0.45,0.8385,False
