pitcher,game_year,pitches,plate_apps,bip,hits,hrs,walks,strikeouts,ba,obp,slg,ops,woba,krate,bbrate,hr_rate,name,whiff_rate,chase_rate
451532,2015,576,165,141.0,53.0,5.0,8.0,15.0,0.346,0.376,0.497,0.872,0.375,0.091,0.048,0.03,"Billingsley, Chad",0.145985401459854,0.273
453178,2021,444,101,63.0,18.0,7.0,9.0,27.0,0.202,0.287,0.461,0.748,0.318,0.267,0.089,0.069,"Kennedy, Ian",0.2616033755274262,0.305
453284,2019,388,100,60.0,19.0,6.0,6.0,31.0,0.211,0.26,0.422,0.682,0.282,0.31,0.06,0.06,"Parker, Blake",0.29069767441860467,0.29
453562,2018,2760,724,520.0,165.0,21.0,57.0,138.0,0.253,0.316,0.406,0.722,0.313,0.191,0.079,0.029,"Arrieta, Jake",0.194815396700707,0.282
453562,2019,2192,591,426.0,149.0,21.0,48.0,110.0,0.283,0.345,0.448,0.793,0.336,0.186,0.081,0.036,"Arrieta, Jake",0.18341968911917098,0.282
453562,2020,729,190,141.0,51.0,6.0,16.0,32.0,0.298,0.358,0.456,0.814,0.351,0.168,0.084,0.032,"Arrieta, Jake",0.1893687707641196,0.231
456696,2016,1276,321,207.0,77.0,11.0,27.0,80.0,0.27,0.33,0.439,0.769,0.329,0.249,0.084,0.034,"Hernandez, David",0.2686084142394822,0.282
457711,2015,1180,328,266.0,94.0,16.0,15.0,35.0,0.321,0.351,0.57,0.921,0.383,0.107,0.046,0.049,"O'Sullivan, Sean",0.14862385321100918,0.267
457732,2016,607,144,95.0,32.0,6.0,15.0,33.0,0.26,0.333,0.472,0.805,0.339,0.229,0.104,0.042,"Bailey, Andrew",0.22972972972972974,0.288
472610,2015,1154,305,204.0,72.0,4.0,29.0,63.0,0.274,0.331,0.384,0.715,0.309,0.207,0.095,0.013,"García, Luis",0.2918287937743191,0.282
472610,2017,997,290,209.0,61.0,3.0,21.0,60.0,0.229,0.283,0.297,0.58,0.257,0.207,0.072,0.01,"García, Luis",0.26804123711340205,0.28
472610,2018,764,203,131.0,49.0,4.0,17.0,51.0,0.271,0.345,0.425,0.77,0.335,0.251,0.084,0.02,"García, Luis",0.3305084745762712,0.282
476451,2016,2925,773,567.0,173.0,24.0,45.0,154.0,0.243,0.29,0.417,0.707,0.302,0.199,0.058,0.031,"Hellickson, Jeremy",0.24074074074074073,0.335
476451,2017,1778,471,371.0,111.0,22.0,28.0,65.0,0.26,0.308,0.494,0.802,0.334,0.138,0.059,0.047,"Hellickson, Jeremy",0.18087557603686635,0.297
