game_year,pitcher,name,is_cohort,on_phi_2026,phi_season,frame,coverage,role,med_pitches_per_outing,games,n,swings,pa_end,usage,thin,pop_member,velo,ivb_in,spin,ext,hb_in,whiff_rate,rv100,xwoba,velo_final,ivb_in_final,spin_final,whiff_rate_final,rv100_final,g_velo,g_ivb_in,g_spin,g_whiff_rate,g_rv100,z_velo,z_ivb_in,z_spin,z_whiff_rate,z_rv100,shape_grade,results_grade,shape_score,results_score,ff_elite_shape_flag,ff_elite_results_flag,ff_elite_archetype_flag,ff_elite_composite,efc_score,archetype_tier
2023,670912,Johan Oviedo,False,False,False,VS_PHI,PARTIAL,SP,91.0,4,57,31,15,0.3931,True,False,94.3596,11.1768,2222.8772,7.0088,-9.2884,0.1935,-4.4789,0.5429,94.8509,11.1768,2247.6478,0.2065,-0.5361,45.0,30.0,45.0,50.0,45.0,-0.2725,-2.0246,-0.5653,-0.1863,-0.6862,40.0,50.0,40.459,45.6376,False,False,False,45.0,43.0483,NOT ELITE
2020,453284,Blake Parker,False,False,True,PHI,COMPLETE,RP,23.5,14,130,45,16,0.4127,False,True,90.5938,16.9874,1998.7846,6.8008,-2.8597,0.1778,-0.83,0.4321,91.5764,16.9874,2048.3259,0.1977,-0.3824,30.0,55.0,30.0,45.0,45.0,-1.834,0.6049,-2.0375,-0.3619,-0.2931,40.0,45.0,39.1112,46.7252,False,False,False,45.0,42.9182,NOT ELITE
2022,502179,Paolo Espino,False,False,False,VS_PHI,PARTIAL,SP,76.5,12,152,60,28,0.4919,False,True,88.1171,18.9379,2226.7171,6.5092,-1.9508,0.15,-2.427,0.3981,88.7721,18.9379,2259.7446,0.1807,-0.5868,20.0,65.0,45.0,45.0,40.0,-3.1713,1.4876,-0.4759,-0.6993,-0.816,45.0,45.0,43.3722,42.4239,False,False,False,45.0,42.8981,NOT ELITE
2018,527054,Julio Teheran,False,False,False,VS_PHI,PARTIAL,SP,91.5,13,169,62,28,0.3781,False,True,89.6065,14.1614,2287.7692,6.0621,-7.2263,0.1613,-1.5083,0.4174,90.9165,14.1614,2353.8243,0.1861,-0.4878,30.0,45.0,50.0,45.0,45.0,-2.1487,-0.674,0.219,-0.5915,-0.5628,40.0,45.0,41.3213,44.2286,False,False,False,45.0,42.775,NOT ELITE
2023,605218,Carl Edwards,False,False,False,INCIDENTAL,PARTIAL,RP,20.0,23,53,44,40,0.631,True,False,93.6679,14.9253,2549.2115,6.7943,2.6921,0.0455,-15.6604,0.4347,94.1592,14.9253,2573.9822,0.1397,-1.0436,45.0,45.0,70.0,35.0,30.0,-0.6023,-0.3283,1.8452,-1.5175,-1.9843,55.0,35.0,53.0487,32.491,False,False,False,45.0,42.7698,NOT ELITE
2024,675921,Spencer Howard,False,False,False,VS_PHI,PARTIAL,RP,49.0,8,55,42,33,0.534,True,False,94.1273,16.3309,2112.5455,6.7,-8.6902,0.0714,-3.7182,0.4758,94.4548,16.3309,2129.0592,0.1527,-0.4924,45.0,55.0,35.0,35.0,45.0,-0.4614,0.3078,-1.4412,-1.2575,-0.5745,45.0,40.0,44.6842,40.8401,False,False,False,45.0,42.7621,NOT ELITE
2019,596001,Jakob Junis,False,False,False,INCIDENTAL,PARTIAL,SP,96.0,12,86,39,14,0.3755,True,False,92.114,14.7126,2114.0698,5.9186,-6.3335,0.1538,-2.9209,0.5577,93.2602,14.7126,2171.868,0.1891,-0.5193,40.0,45.0,40.0,45.0,45.0,-1.031,-0.4245,-1.125,-0.5325,-0.6433,40.0,45.0,41.3981,44.1211,False,False,False,45.0,42.7596,NOT ELITE
2021,661440,Mauricio Llovera,False,False,True,PHI,COMPLETE,RP,24.0,6,80,40,14,0.5517,True,False,94.4162,13.359,1980.075,6.225,-7.3485,0.175,-1.1188,0.3096,95.235,13.359,2021.3594,0.1975,-0.383,50.0,40.0,30.0,45.0,45.0,-0.0893,-1.0371,-2.2367,-0.3643,-0.2947,40.0,45.0,38.7897,46.7052,False,False,False,45.0,42.7475,NOT ELITE
2019,641154,Pablo Lopez,False,False,False,VS_PHI,PARTIAL,SP,90.0,8,101,60,25,0.4262,False,True,93.5693,12.0713,2071.802,6.7822,-10.1525,0.1667,-0.1475,0.3386,94.7156,12.0713,2129.6002,0.1893,-0.3132,45.0,35.0,35.0,45.0,50.0,-0.337,-1.6198,-1.4372,-0.5276,-0.1162,40.0,50.0,38.6866,46.7811,False,False,False,45.0,42.7339,NOT ELITE
2022,592866,Trevor Williams,False,False,False,VS_PHI,PARTIAL,RP,49.5,13,78,42,21,0.4906,True,False,91.2731,12.6369,2274.4103,6.6756,-6.5523,0.0952,1.9962,0.424,91.9281,12.6369,2307.4378,0.1629,-0.1725,35.0,35.0,50.0,40.0,50.0,-1.6663,-1.3638,-0.1236,-1.0543,0.2436,40.0,45.0,39.4876,45.9465,False,False,False,45.0,42.717,NOT ELITE
