game_year,pitcher,role,role_used,V_role,displaced_pitcher,displaced_efc,cand_efc,delta_staff_score,delta_efs,name,displaced_name,board,cand_rank,archetype_tier,coverage,games,n,needle_rank
2025,672578,RP,RP,241.0,670950,43.9178,52.2671,0.479,0.0,Carlos Hernández,Trevor Richards,RANKED,16.0,SHAPE-ONLY,COMPLETE,27,243,24.0
2025,605447,RP,RP,241.0,670950,43.9178,50.4757,0.3762,0.0,Jordan Romano,Trevor Richards,RANKED,24.0,NOT ELITE,COMPLETE,48,258,25.0
2026,694819,SP,SP,669.0,605400,39.0179,67.6323,4.5568,0.1592,Jacob Misiorowski,Aaron Nola,WATCH (THIN),,ELITE,PARTIAL,1,69,
2025,695243,RP,RP,241.0,670950,43.9178,61.4604,1.0064,0.0,Mason Miller,Trevor Richards,WATCH (THIN),,SHAPE-ONLY,PARTIAL,7,55,
2025,656730,RP,RP,241.0,670950,43.9178,59.5195,0.895,0.0,Trevor Megill,Trevor Richards,WATCH (THIN),,SHAPE-ONLY,PARTIAL,7,51,
2025,668881,SP,SP,669.0,605400,39.0179,59.0729,3.1937,0.0,Hunter Greene,Aaron Nola,WATCH (THIN),,SHAPE-ONLY,PARTIAL,3,91,
2025,678495,RP,RP,241.0,670950,43.9178,58.3714,0.8292,0.0,Randy Rodríguez,Trevor Richards,WATCH (THIN),,SHAPE-ONLY,COMPLETE,12,94,
2025,594798,SP,SP,669.0,605400,39.0179,57.5367,2.9491,0.0,Jacob deGrom,Aaron Nola,WATCH (THIN),,SHAPE-ONLY,PARTIAL,2,86,
2025,683618,RP,RP,241.0,670950,43.9178,56.509,0.7223,0.0,Edgardo Henriquez,Trevor Richards,WATCH (THIN),,SHAPE-ONLY,COMPLETE,20,78,
2025,687377,RP,RP,241.0,670950,43.9178,56.204,0.7048,0.0,Orlando Ribalta,Trevor Richards,WATCH (THIN),,SHAPE-ONLY,PARTIAL,5,54,
2026,681035,SP,SP,669.0,605400,39.0179,55.7248,2.6605,0.0,Christian Scott,Aaron Nola,WATCH (THIN),,RESULTS-ONLY,PARTIAL,3,94,
2025,592779,RP,RP,241.0,670950,43.9178,55.1051,0.6418,0.0,Brock Stewart,Trevor Richards,WATCH (THIN),,NOT ELITE,COMPLETE,7,52,
2025,669358,SP,SP,669.0,605400,39.0179,55.1,2.561,0.0,Shane Baz,Aaron Nola,WATCH (THIN),,SHAPE-ONLY,PARTIAL,3,81,
2025,806185,RP,RP,241.0,670950,43.9178,55.0645,0.6395,0.0,Hayden Birdsong,Trevor Richards,WATCH (THIN),,SHAPE-ONLY,COMPLETE,7,69,
