board,cand_rank,ungoverned_rank,game_year,pitcher,name,is_cohort,frame,coverage,role,games,n,swings,thin,velo,ivb_in,spin,whiff_rate,rv100,whiff_rate_final,rv100_final,shape_grade,results_grade,ff_elite_composite,efc_score,efc_score_ungoverned,archetype_tier
WATCH (THIN),,,2025,640448,Kyle Finnegan,False,VS_PHI,PARTIAL,RP,8,64,30,True,96.0406,17.9962,2220.2656,0.1667,3.1766,0.1973,-0.1332,55.0,50.0,55.0,51.1488,54.157,NOT ELITE
WATCH (THIN),,,2025,680767,Victor Vodnik,False,INCIDENTAL,PARTIAL,RP,10,59,27,True,98.4271,14.0888,2288.5593,0.2222,1.061,0.2164,-0.2569,55.0,50.0,55.0,51.1028,53.4767,NOT ELITE
WATCH (THIN),,,2026,696149,Bubba Chandler,False,VS_PHI,PARTIAL,SP,3,78,37,True,98.2128,18.1323,2388.0385,0.0541,-1.8346,0.1502,-0.4298,60.0,40.0,50.0,50.5697,49.0319,SHAPE-ONLY
WATCH (THIN),,,2025,621051,Steven Wilson,False,INCIDENTAL,PARTIAL,RP,31,53,38,True,93.8415,18.6385,2485.3019,0.0526,3.2623,0.1486,-0.1612,60.0,45.0,55.0,50.5442,52.5282,SHAPE-ONLY
WATCH (THIN),,,2026,676917,Cade Cavalli,False,VS_PHI,PARTIAL,SP,3,76,36,True,96.5724,14.5832,2332.5132,0.2778,-1.5658,0.2387,-0.4097,50.0,50.0,50.0,50.4442,51.9694,NOT ELITE
WATCH (THIN),,,2025,656731,Tylor Megill,False,VS_PHI,PARTIAL,SP,2,84,39,True,95.325,16.9271,2249.3929,0.1795,2.7952,0.1996,-0.1039,50.0,50.0,50.0,50.4372,53.1612,NOT ELITE
WATCH (THIN),,,2025,680573,Simeon Woods Richardson,False,VS_PHI,PARTIAL,SP,3,74,31,True,93.0041,18.0032,2210.3514,0.3226,0.2081,0.2524,-0.2943,45.0,55.0,50.0,50.3363,53.6114,NOT ELITE
WATCH (THIN),,,2025,668909,MLBAM 668909,False,INCIDENTAL,PARTIAL,SP,5,86,35,True,97.2849,15.5065,2302.1977,0.2571,-3.3,0.2303,-0.5471,55.0,50.0,55.0,50.2704,50.3474,NOT ELITE
WATCH (THIN),,,2025,678692,MLBAM 678692,False,INCIDENTAL,PARTIAL,RP,29,52,35,True,96.6846,18.39,2486.0769,0.1143,-10.8904,0.1754,-0.8123,60.0,40.0,50.0,49.8008,45.2808,SHAPE-ONLY
WATCH (THIN),,,2026,681190,Randy Vásquez,False,VS_PHI,PARTIAL,SP,4,60,34,True,94.6883,17.04,2418.05,0.0882,1.6383,0.1663,-0.2255,50.0,45.0,50.0,49.423,50.6076,NOT ELITE
WATCH (THIN),,,2025,614179,José Ruiz,False,PHI,COMPLETE,RP,15,92,48,True,95.6978,17.6257,2311.3587,0.2708,-6.8935,0.24,-0.8424,55.0,45.0,50.0,49.3135,47.4655,NOT ELITE
WATCH (THIN),,,2025,592332,Kevin Gausman,False,VS_PHI,PARTIAL,SP,5,75,38,True,94.884,15.8752,2293.04,0.2632,-2.2267,0.2336,-0.4515,50.0,50.0,50.0,49.3026,49.9709,NOT ELITE
WATCH (THIN),,,2026,453286,Max Scherzer,False,VS_PHI,PARTIAL,SP,2,75,40,True,93.8813,16.6784,2334.1333,0.225,-1.4787,0.2183,-0.4031,50.0,50.0,50.0,48.9342,49.8424,NOT ELITE
WATCH (THIN),,,2025,656427,Jack Flaherty,False,INCIDENTAL,PARTIAL,SP,3,80,37,True,93.5038,15.717,2275.4375,0.1622,4.0438,0.1932,-0.028,45.0,50.0,50.0,48.5611,51.8998,NOT ELITE
WATCH (THIN),,,2026,677952,Braxton Ashcraft,False,VS_PHI,PARTIAL,SP,3,63,37,True,97.5889,14.9105,2336.2698,0.1351,-4.8444,0.1824,-0.5768,50.0,45.0,50.0,47.6726,44.9435,NOT ELITE
WATCH (THIN),,,2025,656605,Mitch Keller,False,INCIDENTAL,PARTIAL,UNK,6,59,31,True,93.8492,14.9146,2349.322,0.1613,-0.361,0.195,-0.3303,45.0,50.0,50.0,47.298,47.7785,NOT ELITE
WATCH (THIN),,,2026,693433,MLBAM 693433,False,VS_PHI,PARTIAL,SP,2,51,32,True,97.1431,14.0376,2234.9216,0.1562,-1.9216,0.1928,-0.4003,50.0,45.0,50.0,47.0571,46.4812,NOT ELITE
WATCH (THIN),,,2025,543243,Sonny Gray,False,INCIDENTAL,PARTIAL,SP,4,62,33,True,91.6742,10.8058,2485.6613,0.2121,5.1048,0.2131,-0.0346,45.0,55.0,50.0,46.9405,52.0758,NOT ELITE
WATCH (THIN),,,2025,660853,Enyel De Los Santos,False,INCIDENTAL,PARTIAL,RP,9,63,38,True,96.2127,13.4476,2271.6349,0.1316,0.9365,0.1805,-0.2591,45.0,50.0,50.0,46.846,47.975,NOT ELITE
WATCH (THIN),,,2026,668964,Tobias Myers,False,VS_PHI,PARTIAL,RP,5,73,41,True,92.2384,19.7967,2254.1096,0.122,-1.5096,0.1749,-0.4032,50.0,45.0,50.0,46.8293,46.549,NOT ELITE
WATCH (THIN),,,2025,656288,Griffin Canning,False,VS_PHI,PARTIAL,SP,4,96,33,True,94.7365,15.555,2159.0833,0.1818,-0.5406,0.2018,-0.3459,45.0,50.0,50.0,46.3859,47.1168,NOT ELITE
WATCH (THIN),,,2025,663574,Tony Santillan,False,VS_PHI,PARTIAL,RP,8,54,30,True,96.1704,13.4622,2361.1667,0.0667,-3.8333,0.1624,-0.495,50.0,45.0,50.0,45.5165,41.8862,NOT ELITE
WATCH (THIN),,,2025,670102,MLBAM 670102,False,VS_PHI,PARTIAL,SP,4,71,43,True,93.2465,17.7346,2251.7324,0.1163,-3.1282,0.1714,-0.5008,50.0,45.0,50.0,45.4777,43.8557,NOT ELITE
WATCH (THIN),,,2025,622491,Luis Castillo,False,INCIDENTAL,PARTIAL,SP,7,63,36,True,94.5778,11.9162,2193.5161,0.1944,2.7,0.2061,-0.1622,40.0,55.0,50.0,45.3271,48.5048,NOT ELITE
WATCH (THIN),,,2025,672782,Yoendrys Gómez,False,TEAM,COMPLETE,RP,14,75,45,True,93.652,16.4272,2473.3467,0.1111,-8.5573,0.168,-0.8613,50.0,40.0,45.0,45.0679,41.1753,NOT ELITE
WATCH (THIN),,,2025,683627,Anthony Molina,False,INCIDENTAL,PARTIAL,UNK,6,74,31,True,95.5162,15.0065,2141.5135,0.2258,-5.9514,0.2179,-0.6881,45.0,45.0,45.0,44.9908,42.8102,NOT ELITE
WATCH (THIN),,,2026,673540,Kodai Senga,False,VS_PHI,PARTIAL,RP,4,54,25,True,96.2278,15.1844,2297.1667,0.04,-7.3741,0.1601,-0.6631,50.0,40.0,45.0,44.6512,37.8391,NOT ELITE
WATCH (THIN),,,2025,669387,Carmen Mlodzinski,False,VS_PHI,PARTIAL,SP,3,53,26,True,95.7642,11.6377,2175.0256,0.1923,-1.2736,0.2069,-0.3727,40.0,50.0,45.0,44.5237,44.7252,NOT ELITE
WATCH (THIN),,,2026,641793,Zack Littell,False,VS_PHI,PARTIAL,SP,4,56,29,True,91.6268,16.6929,2031.3036,0.2414,0.1268,0.2231,-0.3063,40.0,50.0,45.0,44.2796,46.6379,NOT ELITE
WATCH (THIN),,,2025,683409,Angel Chivilli,False,INCIDENTAL,PARTIAL,RP,12,87,40,True,97.1471,9.6469,2286.023,0.2,-3.9644,0.2079,-0.5989,45.0,45.0,45.0,44.0956,43.0601,NOT ELITE
