entity,player_name,game_year,plate_apps,pitches,ba,obp,slg,ops,woba,krate,whiff_rate,chase_rate,hard_hit_rate,barrel_rate,runs_created,rc_per_pa
Phillies Hitters,"Crawford, J.P.",2018,137,604,0.21367521367521367,0.31851851851851853,0.39316239316239315,0.7116809116809117,0.31347407407407407,0.27007299270072993,0.275,0.1649122807017544,0.34146341463414637,0.04878048780487805,12,0.08759124087591241
Phillies Hitters,"Crawford, Justin",2026,367,1331,0.26706231454005935,0.3140495867768595,0.3590504451038576,0.6731000318807171,0.2983140495867769,0.18256130790190736,0.18435754189944134,0.37537993920972645,0.34782608695652173,0.014492753623188406,35,0.09536784741144415
Phillies Hitters,"Dahl, David",2024,63,266,0.2033898305084746,0.23809523809523808,0.3898305084745763,0.6279257465698144,0.2682380952380952,0.3333333333333333,0.3333333333333333,0.363013698630137,0.21052631578947367,0.07894736842105263,10,0.15873015873015872
Phillies Hitters,"De La Cruz, Bryan",2026,36,131,0.3333333333333333,0.3888888888888889,0.5666666666666667,0.9555555555555555,0.40069444444444446,0.2222222222222222,0.3013698630136986,0.4246575342465753,0.375,0.08333333333333333,8,0.2222222222222222
Phillies Hitters,"Dickerson, Corey",2019,137,584,0.2932330827067669,0.30656934306569344,0.5789473684210527,0.8855167114867462,0.36020437956204376,0.24087591240875914,0.2661064425770308,0.5,0.3564356435643564,0.09900990099009901,34,0.24817518248175183
Phillies Hitters,"Eflin, Zach",2018,50,172,0.09090909090909091,0.09090909090909091,0.1590909090909091,0.25,0.10615909090909091,0.62,0.5154639175257731,0.4722222222222222,0.21052631578947367,0.05263157894736842,1,0.02
Phillies Hitters,"Eflin, Zach",2019,52,180,0.16,0.16,0.18,0.33999999999999997,0.14614000000000002,0.5192307692307693,0.4811320754716981,0.4025974025974026,0.16,0.0,3,0.057692307692307696
Phillies Hitters,"Eflin, Zach",2021,37,128,0.0,0.06451612903225806,0.0,0.06451612903225806,0.045612903225806446,0.40540540540540543,0.3698630136986301,0.4444444444444444,0.15,0.0,1,0.02702702702702703
Phillies Hitters,"Eickhoff, Jerad",2016,62,186,0.13114754098360656,0.14516129032258066,0.18032786885245902,0.3254891591750397,0.14204838709677417,0.1935483870967742,0.21100917431192662,0.41237113402061853,0.2653061224489796,0.0,6,0.0967741935483871
Phillies Hitters,"Eickhoff, Jerad",2017,34,110,0.16129032258064516,0.16129032258064516,0.1935483870967742,0.3548387096774194,0.15290322580645163,0.38235294117647056,0.24242424242424243,0.5294117647058824,0.14285714285714285,0.0,0,0.0
