player_name,batter,game_year,stand,plate_apps,pitches,at_bats,hits,walks,unint_walks,hbp,strikeouts,sf,singles,doubles,triples,hrs,bip,ba,obp,slg,ops,iso,krate,bbrate,babip,woba,swings,whiffs,whiff_rate,chases,ooz,chase_rate,bips,hard_hits,hard_hit_rate,bips_barrel,barrels,barrel_rate,runs_created,rc_per_pa,floor,in_population
"Buchanan, David",571527,2015,R,23,86,20,4,2,2,0,8,0,3,1,0,0,13,0.2,0.2727272727272727,0.25,0.5227272727272727,0.04999999999999999,0.34782608695652173,0.08695652173913043,0.3333333333333333,0.23968181818181816,36.0,12.0,0.3333333333333333,15.0,45.0,0.3333333333333333,13.0,0.0,0.0,13.0,0.0,0.0,2,0.08695652173913043,12,True
"Buchholz, Clay",453329,2017,L,2,10,2,0,0,0,0,2,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,0.0,3.0,3.0,1.0,2.0,7.0,0.2857142857142857,,,,,,,0,0.0,11,False
"Burriss, Emmanuel",502034,2016,L,42,137,37,5,2,2,2,7,0,3,1,1,0,31,0.13513513513513514,0.21951219512195122,0.21621621621621623,0.4357284113381674,0.08108108108108109,0.16666666666666666,0.047619047619047616,0.16666666666666666,0.2016829268292683,69.0,18.0,0.2608695652173913,25.0,80.0,0.3125,31.0,8.0,0.25806451612903225,31.0,0.0,0.0,0,0.0,11,True
"Burriss, Emmanuel",502034,2016,R,8,38,8,0,0,0,0,3,0,0,0,0,0,5,0.0,0.0,0.0,0.0,0.0,0.375,0.0,0.0,0.0,25.0,7.0,0.28,7.0,17.0,0.4117647058823529,5.0,0.0,0.0,5.0,0.0,0.0,0,0.0,12,False
"Cabrera, Asdrúbal",452678,2018,L,141,504,130,30,9,9,2,31,0,15,10,0,5,99,0.23076923076923078,0.2907801418439716,0.4230769230769231,0.7138570649208946,0.1923076923076923,0.2198581560283688,0.06382978723404255,0.26595744680851063,0.30833333333333335,258.0,68.0,0.26356589147286824,78.0,256.0,0.3046875,99.0,34.0,0.3434343434343434,99.0,8.0,0.08080808080808081,14,0.09929078014184398,11,True
"Cabrera, Asdrúbal",452678,2018,R,44,162,41,9,3,3,0,7,0,6,3,0,0,34,0.21951219512195122,0.2727272727272727,0.2926829268292683,0.565410199556541,0.07317073170731705,0.1590909090909091,0.06818181818181818,0.2647058823529412,0.25206818181818186,75.0,16.0,0.21333333333333335,21.0,85.0,0.24705882352941178,34.0,13.0,0.38235294117647056,34.0,1.0,0.029411764705882353,3,0.06818181818181818,12,True
"Camargo, Johan",622666,2022,L,93,406,86,24,7,7,0,18,0,21,2,0,1,68,0.27906976744186046,0.3333333333333333,0.3372093023255814,0.6705426356589147,0.05813953488372092,0.1935483870967742,0.07526881720430108,0.34328358208955223,0.30087096774193545,195.0,47.0,0.24102564102564103,77.0,228.0,0.33771929824561403,68.0,21.0,0.3088235294117647,68.0,1.0,0.014705882352941176,9,0.0967741935483871,11,True
"Camargo, Johan",622666,2022,R,73,312,66,12,6,6,0,19,0,9,1,0,2,48,0.18181818181818182,0.25,0.2878787878787879,0.5378787878787878,0.10606060606060608,0.2602739726027397,0.0821917808219178,0.2222222222222222,0.24298611111111107,155.0,40.0,0.25806451612903225,60.0,177.0,0.3389830508474576,48.0,11.0,0.22916666666666666,48.0,2.0,0.041666666666666664,8,0.1095890410958904,12,True
"Castellanos, Nick",592206,2022,R,627,2320,589,150,32,32,4,148,2,106,31,0,13,443,0.2546689303904924,0.2966507177033493,0.3735144312393888,0.670165148942738,0.11884550084889645,0.23604465709728867,0.051036682615629984,0.3186046511627907,0.29451196172248806,1331.0,428.0,0.32156273478587527,501.0,1246.0,0.40208667736757625,443.0,151.0,0.34085778781038373,443.0,28.0,0.06320541760722348,70,0.11164274322169059,12,True
"Castellanos, Nick",592206,2023,R,721,2614,673,180,38,38,3,199,7,105,39,2,34,481,0.2674591381872214,0.3065187239944521,0.48291233283803864,0.7894310568324907,0.21545319465081725,0.27600554785020803,0.052704576976421634,0.32662192393736017,0.33443966712898754,1475.0,526.0,0.3566101694915254,578.0,1415.0,0.40848056537102473,481.0,208.0,0.43243243243243246,481.0,53.0,0.1101871101871102,117,0.1622746185852982,12,True
"Castellanos, Nick",592206,2024,R,676,2392,625,161,39,39,10,141,2,102,31,4,24,483,0.2576,0.3106508875739645,0.4352,0.7458508875739644,0.17759999999999998,0.20857988165680474,0.057692307692307696,0.29653679653679654,0.32317899408284023,1393.0,420.0,0.3015075376884422,467.0,1222.0,0.3821603927986907,483.0,187.0,0.38716356107660455,483.0,42.0,0.08695652173913043,90,0.13313609467455623,12,True
"Castellanos, Nick",592206,2025,R,605,2227,563,139,32,32,4,136,6,91,29,2,17,432,0.2468916518650089,0.2892561983471074,0.3960923623445826,0.68534856069169,0.14920071047957373,0.22479338842975208,0.05289256198347107,0.2932692307692308,0.29647438016528926,1316.0,394.0,0.2993920972644377,493.0,1201.0,0.4104912572855953,432.0,149.0,0.3449074074074074,432.0,32.0,0.07407407407407407,79,0.1305785123966942,12,True
"Castro, Rodolfo",666801,2023,L,15,65,15,2,0,0,0,6,0,2,0,0,0,9,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.26666666666666666,0.0,0.4,0.0,0.2222222222222222,0.11773333333333333,30.0,11.0,0.36666666666666664,11.0,37.0,0.2972972972972973,9.0,3.0,0.3333333333333333,9.0,1.0,0.1111111111111111,3,0.2,11,True
"Castro, Rodolfo",666801,2023,R,17,76,15,1,2,2,0,6,0,1,0,0,0,9,0.06666666666666667,0.17647058823529413,0.06666666666666667,0.2431372549019608,0.0,0.35294117647058826,0.11764705882352941,0.1111111111111111,0.1338235294117647,35.0,11.0,0.3142857142857143,16.0,47.0,0.3404255319148936,9.0,1.0,0.1111111111111111,9.0,0.0,0.0,0,0.0,12,True
"Cave, Jake",595909,2023,L,206,830,187,40,15,15,1,56,2,25,9,1,5,134,0.21390374331550802,0.2731707317073171,0.35294117647058826,0.6261119081779054,0.13903743315508024,0.27184466019417475,0.07281553398058252,0.2734375,0.27329756097560975,406.0,110.0,0.270935960591133,125.0,419.0,0.29832935560859186,134.0,47.0,0.35074626865671643,134.0,10.0,0.07462686567164178,22,0.10679611650485436,11,True
"Clemens, Kody",665019,2023,L,148,609,139,32,8,8,1,40,0,21,7,0,4,99,0.2302158273381295,0.27702702702702703,0.3669064748201439,0.6439335018471709,0.13669064748201437,0.2702702702702703,0.05405405405405406,0.29473684210526313,0.2808175675675676,290.0,81.0,0.2793103448275862,87.0,289.0,0.30103806228373703,99.0,40.0,0.40404040404040403,99.0,6.0,0.06060606060606061,14,0.0945945945945946,11,True
"Clemens, Kody",665019,2024,L,125,495,119,27,5,5,1,31,0,11,10,1,5,88,0.226890756302521,0.264,0.453781512605042,0.717781512605042,0.226890756302521,0.248,0.04,0.26506024096385544,0.305976,244.0,64.0,0.26229508196721313,78.0,235.0,0.33191489361702126,88.0,37.0,0.42045454545454547,88.0,6.0,0.06818181818181818,19,0.152,11,True
"Clemens, Kody",665019,2025,L,7,29,6,0,1,1,0,0,0,0,0,0,0,6,0.0,0.14285714285714285,0.0,0.14285714285714285,0.0,0.0,0.14285714285714285,0.0,0.09871428571428571,14.0,2.0,0.14285714285714285,2.0,13.0,0.15384615384615385,6.0,1.0,0.16666666666666666,6.0,0.0,0.0,0,0.0,11,False
"Coonrod, Sam",656322,2021,R,1,3,1,0,0,0,0,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,0.0,2.0,2.0,1.0,1.0,1.0,1.0,,,,,,,0,0.0,12,False
