check_id,description,recomputed,published,result
V-082,First 9 PA are 9 distinct batters in every game,0,0,PASS
V-090-1,slot 1 PA,512,512,PASS
V-091-1,slot 1 PA/g,4.5714,4.5714,PASS
V-092-1,slot 1 RISP share,0.1758,0.1758,PASS
V-093-1,slot 1 men-on share,0.3242,0.3242,PASS
V-090-2,slot 2 PA,498,498,PASS
V-091-2,slot 2 PA/g,4.4464,4.4464,PASS
V-092-2,slot 2 RISP share,0.2028,0.2028,PASS
V-093-2,slot 2 men-on share,0.3936,0.3936,PASS
V-090-3,slot 3 PA,482,482,PASS
V-091-3,slot 3 PA/g,4.3036,4.3036,PASS
V-092-3,slot 3 RISP share,0.2178,0.2178,PASS
V-093-3,slot 3 men-on share,0.4149,0.4149,PASS
V-090-4,slot 4 PA,477,477,PASS
V-091-4,slot 4 PA/g,4.2589,4.2589,PASS
V-092-4,slot 4 RISP share,0.2495,0.2495,PASS
V-093-4,slot 4 men-on share,0.478,0.478,PASS
V-090-5,slot 5 PA,466,466,PASS
V-091-5,slot 5 PA/g,4.1607,4.1607,PASS
V-092-5,slot 5 RISP share,0.2425,0.2425,PASS
V-093-5,slot 5 men-on share,0.4077,0.4077,PASS
V-090-6,slot 6 PA,451,451,PASS
V-091-6,slot 6 PA/g,4.0268,4.0268,PASS
V-092-6,slot 6 RISP share,0.2106,0.2106,PASS
V-093-6,slot 6 men-on share,0.4324,0.4324,PASS
V-090-7,slot 7 PA,440,440,PASS
V-091-7,slot 7 PA/g,3.9286,3.9286,PASS
V-092-7,slot 7 RISP share,0.2568,0.2568,PASS
V-093-7,slot 7 men-on share,0.4568,0.4568,PASS
V-090-8,slot 8 PA,427,427,PASS
V-091-8,slot 8 PA/g,3.8125,3.8125,PASS
V-092-8,slot 8 RISP share,0.2646,0.2646,PASS
V-093-8,slot 8 men-on share,0.4262,0.4262,PASS
V-090-9,slot 9 PA,415,415,PASS
V-091-9,slot 9 PA/g,3.7054,3.7054,PASS
V-092-9,slot 9 RISP share,0.2578,0.2578,PASS
V-093-9,slot 9 men-on share,0.4313,0.4313,PASS
V-094,Slot PA strictly decreasing 1->9,True,True,PASS
V-095,Slot 4 RISP share exceeds slot 1,True,True,PASS
V-100-1,slot 1 context weights sum to 1,1.0,1.0,PASS
V-100-2,slot 2 context weights sum to 1,1.0,1.0,PASS
V-100-3,slot 3 context weights sum to 1,1.0,1.0,PASS
V-100-4,slot 4 context weights sum to 1,1.0,1.0,PASS
